param_knn__metric,param_knn__n_neighbors,param_knn__weights,param_pca__n_components,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time
euclidean,1,uniform,0.9,0.9747999999999999,0.001979478045681085,3,0.21309404373168944,0.005083208866270226
euclidean,1,uniform,0.95,0.9727333333333332,0.0018998537955444,12,0.2173086166381836,0.004543926562655718
euclidean,1,uniform,0.99,0.9709166666666667,0.00208832734769028,24,0.23740000724792482,0.004048041635425162
euclidean,1,distance,0.9,0.9747999999999999,0.001979478045681085,3,0.20613245964050292,0.009570583894478932
euclidean,1,distance,0.95,0.9727333333333332,0.0018998537955444,12,0.2017268180847168,0.0031566999093166383
euclidean,1,distance,0.99,0.9709166666666667,0.00208832734769028,24,0.22102594375610352,0.00278737816232248
euclidean,3,uniform,0.9,0.97455,0.001565779890874419,6,0.18855667114257812,0.001737953863627875
euclidean,3,uniform,0.95,0.9733333333333334,0.0020048552178260834,9,0.19745416641235353,0.0021618524715053848
euclidean,3,uniform,0.99,0.9712500000000001,0.0019407902170679647,20,0.21552958488464355,0.0031696573994550114
euclidean,3,distance,0.9,0.9757999999999999,0.0016129682782580125,1,0.18995184898376466,0.0026265287748637673
euclidean,3,distance,0.95,0.9747666666666668,0.002095895459649126,5,0.19286623001098632,0.0050511951554706854
euclidean,3,distance,0.99,0.9724,0.002238178823160582,15,0.210451078414917,0.006188777891237201
euclidean,5,uniform,0.9,0.9738333333333333,0.0017740412120980237,8,0.18957023620605468,0.0027055138731524337
euclidean,5,uniform,0.95,0.9715833333333332,0.001947220240924674,18,0.19789881706237794,0.0034417061996002965
euclidean,5,uniform,0.99,0.9695,0.0019536291016123367,32,0.20995445251464845,0.004356579661893971
euclidean,5,distance,0.9,0.9754000000000002,0.00203810914547991,2,0.1931623935699463,0.0007192613243329456
euclidean,5,distance,0.95,0.9728999999999999,0.0020189381147303976,10,0.1992575168609619,0.0028846926267330356
euclidean,5,distance,0.99,0.9709333333333333,0.002072572207561283,23,0.21853923797607422,0.004465343664609682
euclidean,7,uniform,0.9,0.9726833333333333,0.0021025117254263952,14,0.19236154556274415,0.003051527392361037
euclidean,7,uniform,0.95,0.9702166666666667,0.0024768932153001505,29,0.19972600936889648,0.002193439497088627
euclidean,7,uniform,0.99,0.9689,0.0019281539818639332,35,0.21744980812072753,0.003341001107671928
euclidean,7,distance,0.9,0.9739833333333333,0.0021656407827707605,7,0.19599146842956544,0.0036291431344338985
euclidean,7,distance,0.95,0.9715833333333335,0.0026028830169640724,17,0.19518442153930665,0.0019121202114487387
euclidean,7,distance,0.99,0.9702500000000001,0.002100925721887595,28,0.21629776954650878,0.005568603321037743
euclidean,9,uniform,0.9,0.9716666666666667,0.0018611525700191424,16,0.19678645133972167,0.001790860479628183
euclidean,9,uniform,0.95,0.9691166666666666,0.0022525294424021952,34,0.1971308708190918,0.003086348054705346
euclidean,9,uniform,0.99,0.9675333333333332,0.001826958614139308,39,0.21393566131591796,0.0028384570986933404
euclidean,9,distance,0.9,0.9728,0.00198927680884845,11,0.19573063850402833,0.0021419727334251216
euclidean,9,distance,0.95,0.9705666666666666,0.0025589711474210395,26,0.19936685562133788,0.0024967831324089244
euclidean,9,distance,0.99,0.9688833333333333,0.0021302060411560546,36,0.2181321620941162,0.004517796642641291
manhattan,1,uniform,0.9,0.9711166666666665,0.002003885115358535,21,0.19891824722290039,0.002429001723535818
manhattan,1,uniform,0.95,0.9651,0.001951779814539649,43,0.2127324104309082,0.0010996655632594151
manhattan,1,uniform,0.99,0.9558333333333333,0.002991655060330297,52,0.23966064453125,0.004807221503644743
manhattan,1,distance,0.9,0.9711166666666665,0.002003885115358535,21,0.2107912063598633,0.007392149772953655
manhattan,1,distance,0.95,0.9651,0.001951779814539649,43,0.21086783409118653,0.0031473308170975158
manhattan,1,distance,0.99,0.9558333333333333,0.002991655060330297,52,0.23799214363098145,0.004517790409459198
manhattan,3,uniform,0.9,0.9700333333333335,0.0017244967059663805,30,0.21070728302001954,0.0029991078902832295
manhattan,3,uniform,0.95,0.9647166666666667,0.001600867820208061,45,0.21941924095153809,0.007649768073164403
manhattan,3,uniform,0.99,0.9548500000000001,0.001292499731356116,55,0.2405613899230957,0.004669759639974361
manhattan,3,distance,0.9,0.9714500000000001,0.0018593607025594184,19,0.21148171424865722,0.0014657923332875482
manhattan,3,distance,0.95,0.9662833333333334,0.0016993462795374438,41,0.2228099822998047,0.0038536253381683365
manhattan,3,distance,0.99,0.9567499999999999,0.0013814243856734671,51,0.24717626571655274,0.008223995468171092
manhattan,5,uniform,0.9,0.9691833333333333,0.0015369522511198244,33,0.22077555656433107,0.00584061366353654
manhattan,5,uniform,0.95,0.9631000000000001,0.0017016332024133662,47,0.22270078659057618,0.0030613953931784618
manhattan,5,uniform,0.99,0.9532,0.0015533118739576132,56,0.24295330047607422,0.00943554145514137
manhattan,5,distance,0.9,0.9705666666666666,0.0014975906576156946,26,0.21861281394958496,0.0034215218798604105
manhattan,5,distance,0.95,0.9652666666666667,0.0020792626898334457,42,0.22288665771484376,0.004231848215203655
manhattan,5,distance,0.99,0.9553833333333334,0.001967513941783136,54,0.24853506088256835,0.003970764729579976
manhattan,7,uniform,0.9,0.9681166666666667,0.0020807317089054232,37,0.2235553741455078,0.004604201653530826
manhattan,7,uniform,0.95,0.9615500000000001,0.0025541904566591905,48,0.23150477409362794,0.0030872081414380645
manhattan,7,uniform,0.99,0.9502833333333334,0.0016771337984125788,59,0.249617862701416,0.0032490838266288594
manhattan,7,distance,0.9,0.9695499999999999,0.002253145948816176,31,0.22647981643676757,0.0026084289762608455
manhattan,7,distance,0.95,0.9634833333333332,0.0024840602962801963,46,0.24118194580078126,0.0013400155041361978
manhattan,7,distance,0.99,0.9523833333333334,0.0020341528403189707,57,0.2579367637634277,0.006458235333220532
manhattan,9,uniform,0.9,0.9664833333333334,0.0021176506899025014,40,0.23162765502929689,0.004573130088968626
manhattan,9,uniform,0.95,0.9593,0.0019131126469708927,50,0.24171094894409179,0.0031955604253036734
manhattan,9,uniform,0.99,0.9482833333333334,0.0014583095236151557,60,0.2592750072479248,0.0045187391452537065
manhattan,9,distance,0.9,0.9680666666666667,0.0021469616774512775,38,0.23551616668701172,0.005207819500572531
manhattan,9,distance,0.95,0.9610833333333334,0.002096955465006875,49,0.2457334041595459,0.00200849026854987
manhattan,9,distance,0.99,0.9508666666666666,0.001558667522098433,58,0.2635443687438965,0.006601994584223923
