mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__C,param_lr__penalty,param_lr__solver,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6973141670227051,0.009650368338674614,0.011268901824951171,0.003958966583044312,0.01,l2,lbfgs,0.9,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.9}",0.9048333333333334,0.9104166666666667,0.9133333333333333,0.9115833333333333,0.908,0.9096333333333334,0.0029601989422634485,24
0.873534107208252,0.02997213776602674,0.01909804344177246,0.01726129711997911,0.01,l2,lbfgs,0.95,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.95}",0.9085833333333333,0.91325,0.9148333333333334,0.9143333333333333,0.91025,0.9122499999999999,0.0024272755646334784,21
1.2043168544769287,0.01721612820860825,0.016616010665893556,0.003953831209454031,0.01,l2,lbfgs,0.99,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.99}",0.9093333333333333,0.9145,0.91575,0.916,0.9108333333333334,0.9132833333333334,0.0027037011669191445,20
1.4336650371551514,0.01578979553416468,0.005873203277587891,0.0015405253867610737,0.01,l2,saga,0.9,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'saga', 'pca__n_components': 0.9}",0.905,0.9105833333333333,0.9133333333333333,0.9115,0.9081666666666667,0.9097166666666666,0.002886558889442953,23
2.2073307037353516,0.023005171805483643,0.01119856834411621,0.0034671148932998276,0.01,l2,saga,0.95,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'saga', 'pca__n_components': 0.95}",0.9086666666666666,0.9133333333333333,0.9144166666666667,0.9144166666666667,0.91,0.9121666666666668,0.002384556795530592,22
4.369904375076294,0.13795216498226742,0.014780759811401367,0.0020203926494630677,0.01,l2,saga,0.99,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'saga', 'pca__n_components': 0.99}",0.9095833333333333,0.9146666666666666,0.9156666666666666,0.9160833333333334,0.9110833333333334,0.9134166666666668,0.0026028830169640754,19
0.5682666301727295,0.02749258715021841,0.006580352783203125,0.0019221992996148619,0.1,l2,lbfgs,0.9,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.9}",0.9116666666666666,0.9171666666666667,0.9195833333333333,0.9158333333333334,0.9136666666666666,0.9155833333333334,0.0027416540019971044,17
0.7929397583007812,0.07376987473205815,0.013971042633056641,0.003597958968665406,0.1,l2,lbfgs,0.95,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.95}",0.9170833333333334,0.92025,0.92025,0.9206666666666666,0.9188333333333333,0.9194166666666668,0.0013218253372598817,11
1.3158518314361571,0.07467498766724714,0.021605587005615233,0.004499540848748145,0.1,l2,lbfgs,0.99,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.99}",0.917,0.923,0.9225,0.9234166666666667,0.9219166666666667,0.9215666666666668,0.0023377339455121827,1
3.8439633369445803,0.3996019075771997,0.006460046768188477,0.0017115248483596573,0.1,l2,saga,0.9,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'saga', 'pca__n_components': 0.9}",0.91175,0.917,0.9193333333333333,0.9161666666666667,0.9136666666666666,0.9155833333333334,0.002637338725980357,17
7.561326599121093,0.6466565086678897,0.00866556167602539,0.0017673055226871026,0.1,l2,saga,0.95,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'saga', 'pca__n_components': 0.95}",0.9169166666666667,0.9201666666666667,0.9198333333333333,0.9206666666666666,0.91875,0.9192666666666666,0.0013327081867802318,12
17.245036840438843,1.455795648941266,0.01988224983215332,0.004181765066415985,0.1,l2,saga,0.99,"{'lr__C': 0.1, 'lr__penalty': 'l2', 'lr__solver': 'saga', 'pca__n_components': 0.99}",0.9170833333333334,0.9226666666666666,0.9224166666666667,0.92325,0.922,0.9214833333333333,0.0022369373904713654,2
0.6148593425750732,0.039390988254580185,0.008308172225952148,0.00174067651313737,1.0,l2,lbfgs,0.9,"{'lr__C': 1.0, 'lr__penalty': 'l2', 'lr__solver': 'lbfgs', 'pca__n_components': 0.9}",0.91325,0.917,0.9204166666666667,0.9174166666666667,0.9160833333333334,0.9168333333333333,0.002306994196399765,16
