mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.21309404373168944,0.005083208866270226,3.8137073516845703,0.05302474211833652,euclidean,1,uniform,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.9765,0.9773333333333334,0.9745833333333334,0.9738333333333333,0.97175,0.9747999999999999,0.001979478045681085,3
0.2173086166381836,0.004543926562655718,5.6225526332855225,0.10747160767696051,euclidean,1,uniform,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9735833333333334,0.9750833333333333,0.974,0.9708333333333333,0.9701666666666666,0.9727333333333332,0.0018998537955444,12
0.23740000724792482,0.004048041635425162,10.776773166656493,0.24192765455948645,euclidean,1,uniform,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.973,0.9729166666666667,0.9718333333333333,0.9681666666666666,0.9686666666666667,0.9709166666666667,0.00208832734769028,24
0.20613245964050292,0.009570583894478932,3.880608558654785,0.029202358206908564,euclidean,1,distance,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9765,0.9773333333333334,0.9745833333333334,0.9738333333333333,0.97175,0.9747999999999999,0.001979478045681085,3
0.2017268180847168,0.0031566999093166383,5.810793161392212,0.04323727895085839,euclidean,1,distance,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'pca__n_components': 0.95}",0.9735833333333334,0.9750833333333333,0.974,0.9708333333333333,0.9701666666666666,0.9727333333333332,0.0018998537955444,12
0.22102594375610352,0.00278737816232248,10.716056966781617,0.16773930104803383,euclidean,1,distance,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 1, 'knn__weights': 'distance', 'pca__n_components': 0.99}",0.973,0.9729166666666667,0.9718333333333333,0.9681666666666666,0.9686666666666667,0.9709166666666667,0.00208832734769028,24
0.18855667114257812,0.001737953863627875,3.873298978805542,0.040287113447112416,euclidean,3,uniform,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform', 'pca__n_components': 0.9}",0.9755,0.9763333333333334,0.9755833333333334,0.97275,0.9725833333333334,0.97455,0.001565779890874419,6
0.19745416641235353,0.0021618524715053848,5.69467134475708,0.08072695226618604,euclidean,3,uniform,0.95,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform', 'pca__n_components': 0.95}",0.9738333333333333,0.9765,0.9738333333333333,0.9719166666666667,0.9705833333333334,0.9733333333333334,0.0020048552178260834,9
0.21552958488464355,0.0031696573994550114,10.283135747909546,0.1501641077541446,euclidean,3,uniform,0.99,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform', 'pca__n_components': 0.99}",0.97225,0.9734166666666667,0.97275,0.9689166666666666,0.9689166666666666,0.9712500000000001,0.0019407902170679647,20
0.18995184898376466,0.0026265287748637673,3.7871447563171388,0.0717002517275713,euclidean,3,distance,0.9,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance', 'pca__n_components': 0.9}",0.9771666666666666,0.97725,0.9769166666666667,0.974,0.9736666666666667,0.9757999999999999,0.0016129682782580125,1
